Entry Date,Entry Stop,Fare,Mode,Type,Route/Vehicle #
"Apr 13, 2026 5:35 PM",Snyder,$0.00,Subway,Single Trip,B1/-
"Apr 13, 2026 4:07 PM",W Rittenhouse Square & Locust St,$0.00,Bus,Transfer,17/7469
"Apr 13, 2026 3:29 PM",Market St & 12th St,$0.00,Bus,Single Trip,17/7483
"Apr 13, 2026 2:50 PM",15th St/City Hall,$0.00,Subway,Transfer,L1/-
"Apr 13, 2026 1:12 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 13, 2026 8:23 AM",Snyder,$0.00,Subway,Single Trip,B1/-
"Apr 12, 2026 5:40 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 12, 2026 2:15 PM",Broad St & Walnut St,$0.00,Bus,Transfer,4/3234
"Apr 12, 2026 12:37 PM",Walnut St & 15th St,$0.00,Bus,Single Trip,21/3030
"Apr 12, 2026 10:21 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 11, 2026 5:40 PM",11th St & Walnut St,$0.00,Bus,Transfer,45/3564
"Apr 11, 2026 4:37 PM",2nd St,$0.00,Subway,Single Trip,L1/-
"Apr 11, 2026 2:27 PM",Snyder,$0.00,Subway,Single Trip,B1/-
"Apr 10, 2026 8:42 PM",NRG Station,$0.00,Subway,Single Trip,B1/-
"Apr 10, 2026 5:52 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 10, 2026 4:41 PM",11th St & Walnut St,$0.00,Bus,Transfer,45/3446
"Apr 10, 2026 3:39 PM",Tasker St & Broad St,$0.00,Bus,Single Trip,29/3450
"Apr 7, 2026 6:57 PM",Walnut-Locust,$0.00,Subway,Single Trip,B1/-
"Apr 7, 2026 5:58 PM",2nd St,$0.00,Subway,Transfer,L1/-
"Apr 7, 2026 4:57 PM",Tasker St & 13th St,$0.00,Bus,Single Trip,29/3446
"Apr 6, 2026 6:10 PM",Snyder,$0.00,Subway,Single Trip,B1/-
"Apr 6, 2026 1:52 PM",19th St & Dickinson St,$0.00,Bus,Single Trip,17/7481
"Apr 6, 2026 11:35 AM",11th St & Arch St,$0.00,Bus,Transfer,45/3565
"Apr 6, 2026 10:17 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
